# x/r_s, F*M/(rho_s*r_s^3)
3.818913304781854090e-02 3.147030502632546661e-02
4.092984818452442136e-02 3.543918074717555128e-02
4.386725591048498685e-02 3.989311129040124665e-02
4.701547224022134541e-02 4.488973495729611102e-02
5.038962625065150636e-02 5.049107231938781276e-02
5.400593278542373948e-02 5.677030910645942258e-02
5.788177037701273953e-02 6.380216434851504470e-02
6.203576476104274984e-02 7.167488364945638624e-02
6.648787838417262452e-02 8.048179301634399152e-02
7.125950633568410575e-02 9.032972369023879733e-02
7.637357916378027800e-02 1.013319976699517816e-01
8.185467307069028975e-02 1.136171478697822201e-01
8.772912801613365341e-02 1.273285414098378199e-01
9.402517429670131932e-02 1.426142027048810657e-01
1.007730682094461760e-01 1.596412107037224470e-01
1.080052374516253938e-01 1.786062927126596533e-01
1.157564369553303468e-01 1.996971526515326778e-01
1.240639159058831847e-01 2.231456798763559457e-01
1.329675967466212583e-01 2.491814412956482594e-01
1.425102670302999253e-01 2.780711945766126125e-01
1.527377850390715663e-01 3.100900886797368639e-01
1.636993001611701803e-01 3.455374089284767858e-01
1.754474890833459533e-01 3.847599803415640007e-01
1.880388089340916669e-01 4.280805773954881044e-01
2.015337685941735180e-01 4.759022991175502759e-01
2.159972194782717181e-01 5.286090131702571027e-01
2.314986671851160804e-01 5.866364626633104873e-01
2.481126055137770348e-01 6.504303021138407859e-01
2.659188744512696601e-01 7.204962388175835120e-01
2.850030438518105225e-01 7.972819276065862271e-01
3.054568246515431684e-01 8.813485870246485776e-01
3.273785095948577029e-01 9.732159658598018570e-01
3.508734455902715044e-01 1.073473768593982358e+00
3.760545399658175580e-01 1.182678831062249358e+00
4.030428030568050657e-01 1.301394283505558302e+00
4.319679297334173551e-01 1.430233607484475478e+00
4.629689226627267673e-01 1.569749323587308121e+00
4.961947603002908047e-01 1.720513900965481069e+00
5.318051128214197343e-01 1.883098552265964676e+00
5.699711094326075367e-01 2.058051835070446867e+00
6.108761607505039937e-01 2.245711310183408305e+00
6.547168402004742704e-01 2.446573422924946062e+00
7.017038286703837224e-01 2.661092732307389408e+00
7.520629269592407073e-01 2.889323791548740417e+00
8.060361408861345112e-01 3.131619279619768381e+00
8.638828442740453806e-01 3.387982444166826479e+00
9.258810253973963622e-01 3.658342097387015102e+00
9.923286228832545186e-01 3.942438165907352854e+00
1.063544957486011189e+00 4.240026164366337724e+00
1.139872266616052565e+00 4.550497202356592830e+00
1.221677348996793144e+00 4.873061537671835808e+00
1.309353327353609542e+00 5.206970467601762742e+00
1.403321537605484615e+00 5.550988922301962170e+00
1.504033553638025156e+00 5.903925998936554009e+00
1.611973357388158723e+00 6.264353588541288431e+00
1.727659664669038087e+00 6.630627340952439219e+00
1.851648417912154176e+00 7.000981962645686174e+00
1.984535457805803205e+00 7.373512489911853152e+00
2.126959386668691998e+00 7.746235802622937427e+00
2.279604637318981997e+00 8.117280333738605691e+00
2.443204762186486967e+00 8.484491270727396284e+00
2.618545958474232549e+00 8.845933884177521023e+00
2.806470846309838674e+00 9.199830406214898559e+00
3.007882518043102138e+00 9.544506437287003209e+00
3.223748878149033548e+00 9.878344980617596249e+00
3.455107294592218103e+00 1.020008909056175028e+01
3.703069584005141301e+00 1.050892783404639630e+01
3.968827354637165961e+00 1.080411761757243383e+01
4.253657732750391496e+00 1.108476850006642245e+01
4.558929499981059230e+00 1.135106389000334381e+01
4.886109671160325796e+00 1.160271851184878678e+01
5.236770544204655486e+00 1.184009641861711870e+01
5.612597255954977271e+00 1.206344081379890554e+01
6.015395880274832408e+00 1.227327983343951701e+01
6.447102107323869902e+00 1.247001217613312285e+01
6.909790545715645216e+00 1.265440746864357457e+01
7.405684692262441970e+00 1.282695341744283546e+01
7.937167617217558480e+00 1.298842119852275978e+01
8.506793416364153870e+00 1.313932478397573789e+01
9.117299484984922486e+00 1.328034576597912064e+01
9.771619672696180814e+00 1.341204248468953608e+01
1.047289838236359572e+01 1.353539030521963937e+01
1.122450568085305811e+01 1.364993798583433104e+01
1.203005349423324155e+01 1.375716383748240190e+01
1.289341296525715741e+01 1.385714962512440529e+01
1.381873305653633643e+01 1.395051424563161291e+01
1.481046048880677013e+01 1.403775652251438189e+01
1.587336111010208661e+01 1.411910978135135508e+01
1.701254279852589235e+01 1.419498946269612993e+01
1.823348000868442398e+01 1.426582157397547945e+01
1.954204007974055557e+01 1.433191485777238228e+01
2.094451143151468742e+01 1.439352387510508002e+01
2.244763378413223975e+01 1.445114942626353916e+01
2.405863054644066779e+01 1.450479537682337039e+01
2.578524352884276283e+01 1.455488463803066246e+01
2.763577014736162951e+01 1.460158929818028817e+01
2.961910329772553396e+01 1.464522502284956396e+01
3.174477409109193360e+01 1.468594813622900652e+01
3.402299765678070997e+01 1.472393329667566775e+01
3.646472223212752795e+01 1.475945768463656016e+01
3.908168177536263954e+01 1.479232714095268264e+01
4.188645235435271275e+01 1.482323350083765945e+01
4.489251258218607887e+01 1.485171247755757129e+01
4.811430839003264737e+01 1.487887012683603238e+01
5.156732244854963199e+01 1.490402144686632191e+01
5.526814857144603366e+01 1.492746037020604177e+01
5.923457145875806162e+01 1.494915704628882480e+01
6.348565216305223657e+01 1.496952233036242674e+01
6.804181968927107960e+01 1.498854777415144568e+01
7.292496916841444943e+01 1.500652664751001275e+01
7.815856707684091020e+01 1.502276753548899357e+01
8.376776400682923907e+01 1.503810623702858607e+01
8.977951553033331322e+01 1.505254409596441434e+01
9.622271173675135003e+01 1.506549172497960321e+01
1.031283160672184778e+02 1.507849008692855897e+01
1.105295141126022145e+02 1.509024197222638719e+01
1.184618730902684831e+02 1.510109639899000200e+01
1.269635127659975353e+02 1.511109287538969248e+01
1.360752886424333212e+02 1.512049398892757424e+01
1.458409882943986418e+02 1.512951746461927804e+01
1.563075417945817378e+02 1.513789137067887758e+01
1.795480124687830426e+02 1.515278452582436586e+01
8.248746552614580878e+02 1.522929078440646578e+01
1.015521127634569098e+03 1.524581827916062160e+01
